dataid,active_record,building_type,city,state,egauge_1min_min_time,egauge_1min_max_time,egauge_1min_data_availability,,egauge_1s_max_time,egauge_1s_data_availability,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,battery1,car1,car2,circpump1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,grid,heater1,heater2,heater3,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,sewerpump1,shed1,solar,solar2,sprinkler1,sumppump1,utilityroom1,venthood1,waterheater1,waterheater2,winecooler1,wellpump1,water_ert_min_time,water_ert_max_time,water_data_availability,gas_ert_min_time,gas_ert_max_time,gas_data_availability,indoor_temp_min_time,indoor_temp_max_time,indoor_temp_data_availability,date_enrolled,date_withdrawn,house_construction_year,total_square_footage,first_floor_square_footage,second_floor_square_footage,third_floor_square_footage,half_floor_square_footage,lower_level_square_footage,pv,pv_panel_direction,total_amount_of_pv,amount_of_south_facing_pv,amount_of_west_facing_pv,amount_of_east_facing_pv,number_of_nests,audit_2011,audit_2013_2014,survey_2011,survey_2012,survey_2013,survey_2014,survey_2017,survey_2019,program_579,program_baseline,program_energy_internet_demo,program_lg_appliance,program_verizon,program_ccet_group,program_civita_group,program_shines
9613,,Single-Family Home 001 (Master),Austin,Texas,2013-07-25 19:00:00-05:00,2019-07-15 04:59:00-05:00,0.80,,2019-07-15 03:00:00-05:00,100%,yes,,,,,yes,,,,,,,,,,,yes,,,,yes,yes,yes,,,yes,,,,yes,,,,,,,,,yes,,yes,,,,,,,,,,,,yes,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,5/16/2012,7/16/2019,1969,1597,1597,0,0,0,0,,,,,,,1,,,,,,,,,,,yes,,,,,
6498,yes,Single-Family Home 001 (Master),Austin,Texas,2014-07-01 00:00:00-05:00,2021-01-31 02:59:00-06:00,0.87,,2021-01-31 02:00:00-06:00,100%,yes,yes,,,,,,yes,,,,,,yes,,,yes,,yes,,yes,,,yes,,yes,yes,yes,,yes,,,,,,,,,yes,,yes,yes,yes,yes,,,,,,,yes,,,,,,,,,,yes,,,,,,,,,,,,,,,2015-12-08 13:46:00-06:00,2017-08-27 20:53:00-05:00,49%,,,,2019-11-13 10:11:00-06:00,2021-01-31 05:01:00-06:00,91%,2/17/2012,,1926,2164,1106,1058,0,0,0,,,,,,,,,yes,,,yes,yes,,yes,,,yes,,,,,
3235,,Single-Family Home 001 (Master),Austin,Texas,2013-08-20 19:00:00-05:00,2014-10-03 18:59:00-05:00,1.00,,,,,,,yes,,,,,,,,,,,,,yes,,,,,,yes,,,,,,,yes,,,,,,,,,,,yes,yes,,,,,,,,,yes,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,5/17/2012,8/17/2017,1948,1168,1168,,,,,,,,,,,,,,,,,yes,,,,,yes,,,,,
2242,,Single-Family Home 001 (Master),Austin,Texas,2012-07-13 19:00:00-05:00,2016-01-19 03:59:00-06:00,1.00,,,,yes,yes,,,,yes,,,,,,,,,,,yes,,,,yes,,yes,,,yes,,,,yes,,,,,,,,,yes,yes,,,,,,,yes,yes,yes,yes,yes,,yes,,,,,,,yes,yes,,,,,,,yes,,,,,,,,,,,,,,,,,5/23/2012,11/21/2018,1999,3489,2097,1392,0,0,0,,,,,,,,,yes,,,yes,yes,,,,,yes,,,CCET - Text Message,,
4575,,Single-Family Home 001 (Master),Austin,Texas,2014-07-03 00:00:00-05:00,2016-09-25 23:59:00-05:00,1.00,,,,yes,,,,,,,,,,,,,,,,yes,,yes,,yes,yes,,yes,,yes,,yes,,yes,,,,,,,,,yes,yes,,,,,,,yes,,yes,,,,yes,,,,,,,,yes,,yes,,,,,,,yes,,,,,,,,,2012-05-24 18:59:07-05:00,2014-07-23 23:56:03-05:00,45%,,,,5/24/2012,9/26/2016,2007,1834,1066,768,,,,,,,,,,,,,,,,,,,,,yes,,,,,
2974,,Single-Family Home 001 (Master),Austin,Texas,2012-06-16 19:00:00-05:00,2015-07-13 08:58:00-05:00,1.00,,,,yes,yes,,,,yes,,,,,,,,,,,yes,,yes,,yes,,yes,,,yes,yes,yes,,yes,,,,,,,yes,,yes,,yes,yes,yes,yes,,,,,yes,,,,yes,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,5/25/2012,7/13/2015,2001,3442,2347,1095,0,0,0,,,,,,,,,yes,,,,,,,,,yes,,,CCET - UT Text,,
5568,,Single-Family Home 001 (Master),Austin,Texas,2012-09-16 19:00:00-05:00,2017-10-30 08:59:00-05:00,1.00,,,,yes,yes,,,,yes,,,,,,,,,,,yes,,yes,yes,yes,yes,yes,,,yes,yes,yes,,yes,,,,,,yes,,,yes,yes,yes,yes,,,,,yes,,yes,,,,yes,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,5/25/2012,10/30/2017,1999,3497,2199,1298,0,0,0,,,,,,,,,,,yes,,yes,,,,,yes,,,CCET - Control,,
3036,,Single-Family Home 001 (Master),Austin,Texas,2012-07-13 00:00:00-05:00,2017-12-31 17:59:00-06:00,0.90,,,,yes,,,,,yes,,,,,,,,yes,,,yes,,,,yes,,yes,,,yes,,,,yes,,,,,,,,,yes,yes,yes,yes,,,,,yes,,yes,,,,,,,,,,,,yes,,yes,,,yes,,,,,,,,,,2015-09-23 14:44:13.341210-05:00,2018-01-09 18:57:00-06:00,93%,2012-06-04 18:59:55-05:00,2018-07-08 23:26:26.965642-05:00,51%,,,,6/4/2012,7/11/2018,2011,2100.5,709.5,1028,363,,,yes,South;West,4.5,2.75,1.75,,,,yes,,yes,yes,yes,yes,,,,yes,,,CCET - Pricing Trial,,
5164,,Single-Family Home 001 (Master),Austin,Texas,2012-12-20 18:00:00-06:00,2014-03-20 00:59:00-05:00,0.60,,,,,,,,,,,yes,,,,,,,,,yes,,,,,,,,yes,yes,,,,,,,,,,,,,yes,yes,,,,,,,yes,,yes,yes,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,6/5/2012,3/20/2014,1994,4513,4513,,,,,,,,,,,,,,,,,,,,,,yes,,,CCET - Text Message,,
520,yes,Single-Family Home 001 (Master),Austin,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/5/2012,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,,,,,
